id,name,emoji,type,ingredients,tags,reason
1,김치찌개,🍲,한식,pork,pork|meat|korean|hot|soup|stew|spicy|rice|hearty|solo|delivery,얼큰한 국물과 밥으로 든든하게 먹기 좋은 메뉴예요.
2,된장찌개,🍲,한식,tofu,tofu|plant|korean|hot|soup|stew|mild|rice|solo,구수하고 담백한 국물이 편안한 한 끼를 만들어줘요.
3,순두부찌개,🥘,한식,tofu|seafood,tofu|plant|seafood|korean|hot|soup|stew|spicy|rice|solo,뜨끈하고 얼큰하지만 비교적 부담이 적은 선택이에요.
4,부대찌개,🍲,한식,pork,pork|meat|korean|hot|soup|stew|spicy|rich|hearty|delivery|drink,강한 맛과 풍성한 건더기를 함께 즐길 수 있어요.
5,육개장,🍲,한식,beef,beef|meat|korean|hot|soup|spicy|rice|hearty,진하고 얼큰한 국물이 필요한 날 만족감이 높아요.
6,설렁탕,🍲,한식,beef,beef|meat|korean|hot|soup|mild|rice|hearty,담백한 국물과 밥으로 속을 편하게 채울 수 있어요.
7,갈비탕,🍲,한식,beef,beef|meat|korean|hot|soup|mild|rice|hearty|special,고기와 국물을 함께 즐길 수 있어 든든한 외식 메뉴로 좋아요.
8,돼지국밥,🍲,한식,pork,pork|meat|korean|hot|soup|rice|hearty|solo|delivery|mild,"따뜻한 국물과 밥, 고기로 든든하게 먹기 좋아요."
9,순대국밥,🍲,한식,pork,pork|meat|korean|hot|soup|rice|hearty|solo|savory,진한 국물과 건더기로 포만감이 큰 국밥 메뉴예요.
10,콩나물국밥,🍲,한식,,plant|vegetable|korean|hot|soup|rice|light|quick|mild,시원하고 부담 없는 국물이 필요할 때 좋아요.
11,감자탕,🍲,한식,pork,pork|meat|korean|hot|soup|stew|spicy|hearty|drink,푸짐한 고기와 진한 국물로 배부르게 먹기 좋아요.
12,닭볶음탕,🥘,한식,chicken,chicken|meat|korean|hot|stew|spicy|rice|hearty,매콤한 국물과 닭고기로 밥과 잘 맞는 메뉴예요.
13,찜닭,🍗,한식,chicken,chicken|meat|korean|hot|stew|savory|sweet|hearty|delivery,짭짤달큰한 양념과 닭고기로 푸짐하게 먹을 수 있어요.
14,제육볶음,🥘,한식,pork,pork|meat|korean|hot|grilled|spicy|rice|hearty|delivery,매콤한 돼지고기와 밥을 든든하게 즐길 수 있어요.
15,비빔밥,🥗,한식,,plant|vegetable|korean|rice|fresh|light|solo|quick|savory,채소와 밥을 함께 먹으며 깔끔하게 채울 수 있어요.
16,돌솥비빔밥,🍚,한식,,plant|vegetable|korean|hot|rice|savory|hearty,뜨거운 돌솥의 고소한 밥 식감이 매력적인 메뉴예요.
17,김치볶음밥,🍚,한식,pork,pork|meat|korean|hot|rice|spicy|quick|solo|savory,매콤하고 익숙한 볶음밥으로 빠르게 만족감을 줘요.
18,불고기덮밥,🍚,한식,beef,beef|meat|korean|hot|rice|savory|sweet|hearty|quick,달큰한 불고기와 밥이 잘 어울리는 안정적인 선택이에요.
19,참치마요덮밥,🍚,한식,seafood,seafood|korean|rice|creamy|quick|solo,부드럽고 고소한 맛으로 간단히 먹기 좋아요.
20,칼국수,🍜,한식,,plant|vegetable|korean|hot|soup|noodle|mild|solo,부드러운 면과 따뜻한 국물이 편안한 한 끼를 만들어요.
21,비빔국수,🍜,한식,,plant|vegetable|korean|cold|noodle|spicy|tangy|quick|light,새콤매콤하고 가볍게 입맛을 깨우기 좋아요.
22,냉면,🧊,한식,beef,beef|meat|korean|cold|noodle|fresh|tangy|light,시원하고 깔끔한 면 요리가 당기는 날 잘 맞아요.
23,막국수,🍜,한식,,plant|vegetable|korean|cold|noodle|tangy|light|fresh,시원하고 부담 적은 면 요리로 산뜻하게 먹기 좋아요.
24,삼겹살,🥓,한식,pork,pork|meat|korean|hot|grilled|rich|hearty|dining|drink,구운 고기와 함께 제대로 된 만족감을 얻기 좋아요.
25,소갈비,🥩,한식,beef,beef|meat|korean|hot|grilled|savory|rich|special,특별한 외식 느낌을 주는 고기 메뉴예요.
26,보쌈,🥬,한식,pork,pork|meat|korean|mild|hearty|delivery|dining|drink,고기와 채소를 함께 즐기며 여럿이 먹기 좋아요.
27,족발,🍖,한식,pork,pork|meat|korean|rich|hearty|delivery|drink|lateNight,쫀득한 고기와 푸짐한 배달 메뉴를 원할 때 좋아요.
28,닭갈비,🍗,한식,chicken,chicken|meat|korean|hot|grilled|spicy|hearty|dining,매콤한 볶음 고기와 함께 활기찬 식사가 돼요.
29,오징어볶음,🦑,한식,seafood,seafood|korean|hot|grilled|spicy|rice|quick,매콤한 해산물 볶음과 밥의 조합이 좋아요.
30,낙지볶음,🐙,한식,seafood,seafood|korean|hot|grilled|spicy|rice|hearty,강한 매운맛과 쫄깃한 식감으로 기분 전환하기 좋아요.
31,고등어구이,🐟,한식,seafood,seafood|korean|hot|grilled|rice|savory|solo,고소한 생선구이와 밥의 조합이 안정적이에요.
32,갈치조림,🐟,한식,seafood,seafood|korean|hot|stew|spicy|rice|savory,매콤한 양념과 생선살이 밥과 잘 어울려요.
33,파전,🥞,한식,seafood,seafood|korean|fried|crispy|savory|drink,바삭하고 고소한 전으로 한잔과도 잘 어울려요.
34,김밥,🍙,분식,,plant|vegetable|korean|rice|quick|light|solo|mild,빠르고 간편하면서도 재료가 다양해 부담이 적어요.
